,drugbank_id,drugname,canonical
0,DB00014,GOSERELIN,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
1,DB00050,CETRORELIX,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
2,DB00091,CYCLOSPORINE,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
3,DB00104,OCTREOTIDE,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O
4,DB00118,S-ADENOSYLMETHIONINE,C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5,DB00120,ASPARTAME,C1=CC=C(C=C1)CC(C(=O)O)N
6,DB00122,CHOLINE,C[N+](C)(C)CCO
7,DB00126,ASCORBIC ACID,C(C(C1C(=C(C(=O)O1)O)O)O)O
8,DB00130,GLUTATHIONE,C(CC(=O)N)C(C(=O)O)N
9,DB02174,GLUTATHIONE,C(CC(=O)N)C(C(=O)O)N
10,DB00131,NAD,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
11,DB00132,ALPHA-LINOLENIC ACID,CCC=CCC=CCC=CCCCCCCCC(=O)O
12,DB00134,METHIONINE,CSCCC(C(=O)O)N
13,DB00136,"1,25-DIHYDROXYVITAMIN D",CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
14,DB00136,CALCITRIOL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
15,DB00136,CHOLECALCIFEROL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
16,DB00136,LUTEOLIN,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
17,DB00139,FUMARIC ACID,C(CC(=O)O)C(=O)O
18,DB00139,MALEIC ACID,C(CC(=O)O)C(=O)O
19,DB00140,RIBOFLAVIN,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
20,DB00141,ACETYLGLUCOSAMINE,CC(=O)NC(C=O)C(C(C(CO)O)O)O
21,DB00143,GLUTATHIONE,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
22,DB00143,GLUTATHIONE DISULFIDE,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
23,DB00145,ADENINE,C(C(=O)O)N
24,DB00145,GLYCINE,C(C(=O)O)N
25,DB00146,CALCIFEDIOL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
26,DB00148,CREATINE,CN(CC(=O)O)C(=N)N
27,DB00151,ACETYLCYSTEINE,C(C(C(=O)O)N)S
28,DB00151,CARBOCYSTEINE,C(C(C(=O)O)N)S
29,DB00151,CYSTEINE,C(C(C(=O)O)N)S
30,DB03201,ACETYLCYSTEINE,C(C(C(=O)O)N)S
31,DB03201,CARBOCYSTEINE,C(C(C(=O)O)N)S
32,DB03201,CYSTEINE,C(C(C(=O)O)N)S
33,DB00153,VITAMIN D,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
34,DB00157,NAD,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
35,DB00159,EICOSAPENTAENOIC ACID,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
36,DB00160,METHIONINE,CC(C(=O)O)N
