,drugname,chembl,canonical
0,"((5Z)5-(1,3-BENZODIOXOL-5-YL)METHYLENE-2-PHENYLAMINO-3,5-DIHYDRO-4H-IMIDAZOL-4-ONE)",CHEMBL1802358,C1OC2=C(O1)C=C(C=C2)C=C3C(=O)NC(=N3)NC4=CC=CC=C4
1,(+)-JQ1 COMPOUND,CHEMBL1957266,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
2,(2-BORONOETHYL)-CYSTEINE,CHEMBL4244287,B(CCSCC(C(=O)O)N)(O)O
5,"(3,4-DIHYDROXYPHENYLAMINO)-2-IMIDAZOLINE",CHEMBL146100,C1CN=C(N1)NC2=CC(=C(C=C2)O)O
7,(4-(5-(4-FLUOROPHENYL)-2-METHYLSULFANYL-3H-IMIDAZOL-4-YL)PYRIDIN-2-YL)-(1-PHENYLETHYL)AMINE,CHEMBL111364,CC(C1=CC=CC=C1)NC2=NC=CC(=C2)C3=C(NC(=N3)SC)C4=CC=C(C=C4)F
10,"(N-(1-(((CYANOIMINO)(5-QUINOLINYLAMINO) METHYL) AMINO)-2,2-DIMETHYLPROPYL)-2-(3,4-DIMETHOXYPHENYL)ACETAMIDE)",CHEMBL255787,CC(C)(C)C(NC(=O)CC1=CC(=C(C=C1)OC)OC)N=C(NC#N)NC2=CC=CC3=C2C=CC=N3
12,1'-ACETOXYCHAVICOL ACETATE,CHEMBL323727,CC(=O)OC1=CC=C(C=C1)C(C=C)OC(=O)C
13,1'-ACETOXYCHAVICOL ACETATE,CHEMBL359887,CC(=O)OC1=CC=C(C=C1)C(C=C)OC(=O)C
14,"1,1-BIS(3'-INDOLYL)-1-(4-CHLOROPHENYL)METHANE",CHEMBL2376559,C1=CC=C2C(=C1)C(=CN2)C(C3=CC=C(C=C3)Cl)C4=CNC5=CC=CC=C54
16,"1,1-DIMETHYLBUTYL-1-DEOXY-DELTA(9)-THC",CHEMBL371214,CCCC(C)(C)C1=CC2=C(C=C1)C3CC(=CCC3C(O2)(C)C)C
